model,text_representation,lemmatized,accuracy
LogisticRegression,TF-IDF,yes,0.6593659942363113
DecisionTreeClassifier,TF-IDF,yes,0.4895677233429395
MultinomialNB,TF-IDF,yes,0.3664553314121038
HistGradientBoostingClassifier,TF-IDF,yes,0.1519308357348703
SVC,TF-IDF,yes,0.6544092219020172
RandomForestClassifier,TF-IDF,yes,0.5214985590778098
GradientBoostingClassifier,TF-IDF,yes,0.6114121037463977
LogisticRegression,TF-IDF,no,0.6593659942363113
DecisionTreeClassifier,TF-IDF,no,0.4901440922190201
MultinomialNB,TF-IDF,no,0.3664553314121038
HistGradientBoostingClassifier,TF-IDF,no,0.1519308357348703
SVC,TF-IDF,no,0.6544092219020172
RandomForestClassifier,TF-IDF,no,0.5227665706051873
GradientBoostingClassifier,TF-IDF,no,0.6139481268011527
LogisticRegression,Word2Vec,yes,0.2971757925072046
DecisionTreeClassifier,Word2Vec,yes,0.1624207492795389
MultinomialNB,Word2Vec,yes,0.213371757925072
HistGradientBoostingClassifier,Word2Vec,yes,0.2731988472622478
SVC,Word2Vec,yes,0.2965994236311239
RandomForestClassifier,Word2Vec,yes,0.2706628242074927
GradientBoostingClassifier,Word2Vec,yes,0.2620172910662824
LogisticRegression,Word2Vec,no,0.2971757925072046
DecisionTreeClassifier,Word2Vec,no,0.161729106628242
MultinomialNB,Word2Vec,no,0.213371757925072
HistGradientBoostingClassifier,Word2Vec,no,0.2731988472622478
SVC,Word2Vec,no,0.2965994236311239
RandomForestClassifier,Word2Vec,no,0.2697406340057636
GradientBoostingClassifier,Word2Vec,no,0.2601729106628242
